id,orderId,variantId,quantity
7687225b-7f69-4a5b-9683-1a6c2824bfb0,b3c7b6f3-fd3c-46fc-b33d-c9f84c4c4565,f4d55996-c77c-4a03-95e7-08ad380f8a34,2
1d3b9ba5-631e-42a3-8b5b-3b0d508ec49f,1486fd3c-039e-4331-8886-21f67abd6d8a,935ddc28-373d-43ff-a088-7f16a66a5ffe,1
9df6e494-d71e-46c4-9f05-f564292e7798,38979ac2-b859-4084-ac69-d503f9eca9b8,e5c1063d-fa0a-42f7-b758-8cabd1837163,1
092e3f37-7a94-4e39-a8a6-ec97a2841ddb,b4e189a9-e6f7-4a33-b2fd-5e498982ca33,8a9db4de-8fa9-47e6-88a7-bcd803ea650c,1
c1077ab0-0e93-4190-95eb-17c82f7b076d,b7eb9777-5ec9-48fe-86f3-1fca5a297806,10e149fc-0348-494b-81bc-1505cca06736,1
d70e0f94-3e1c-45c8-a39b-a71b1c71781d,97daf2bf-1b65-4133-aa6b-4ec994ad15ed,76b6ed8f-ad78-4e41-8256-3c4955941344,2
7787d3ab-9396-4af7-b00f-d31899d71aae,5c641a94-14e6-4923-b20b-367d67826013,6f83b480-ecd2-4d88-827e-b2103d9dfa59,3
9981c225-b10b-4969-a6f6-4b9087fd31f5,c7f343c4-9ef3-412b-a6dd-102f7b4ff6b5,7cc02357-8ea8-4ffa-8887-3d54415021b6,2
0acbb52e-a40b-4b30-b2eb-8e420aa0af40,314ed523-4935-4cfc-b819-295746e5cdbb,e5c1063d-fa0a-42f7-b758-8cabd1837163,3
d0015f2f-7a73-4c63-8dee-f0b42eed34a7,83866322-7113-47c9-a05e-9ff5eb54e56f,5838a2be-c776-4dec-9ead-1fef76ac167d,1
830b1d5a-812e-4c68-9036-97dc8da3697b,c82afbaf-db6e-48a7-9cb3-68ad17a51ab3,fc5a19a0-7f0d-46f4-bcd8-0530c5229059,2
55d9b47d-9719-4157-82e4-a961c71de014,e64a7bad-1aa1-461f-adb0-ae65a062ca49,28518a57-6b50-4f94-bcc1-cae42336f5d7,3
0cc17f66-7883-4473-9299-a87e7c1e533c,3a3637ae-8639-4a97-89eb-bed482ba5aba,a6965682-ac74-4da2-bc29-4b81e62e8a18,2
2328e7c1-92b2-4dd4-b7a2-ceee3a28fda1,1b53df34-5ae0-4d26-900d-8b40ce379f9d,28518a57-6b50-4f94-bcc1-cae42336f5d7,1
c9c48f86-f6e9-4fbb-9572-3008281be0e6,c3a69f93-ce46-4cf8-ab70-c8d2be7757d2,143ad2c6-7ecc-46e5-9828-ae4c4f92e3f9,3
ecdd71b0-8e5b-418b-b55b-0e509dde93b3,7f5c2556-2af5-47fc-a6cb-0c173093849b,ced41916-f2ee-48b9-b5e6-99ecf108f0e5,1
64b69819-4595-4a8d-ab0d-2e08a90de899,8dfb7c6a-4ced-44b5-8768-235e61f43ea5,ccf72e42-613a-450c-824a-5dcc829d743b,2
7ab7e595-3f37-4396-9fa8-7bc76c033b18,36d06d81-6d72-4900-98d7-d75762c3f420,4be59bae-064c-4bec-826e-c96ab2c9d6a9,2
1f4da487-269a-4a7e-a4c3-ecbed6b5a2c9,935c23e0-490b-4be7-a629-9ba5be18cb00,a5a8e64d-fd52-486d-a565-116fb17b05a2,1
5340cf5f-95bb-4ca5-836f-5c6e4563a852,4daa89c6-2fe1-4da3-8369-4c729719845a,6049401f-ba02-4513-ad31-df49121e8ffd,2
cd45ab6e-91ee-44cc-adfd-57eb5abd47e9,ca1fe70a-5371-44b2-9ca1-7d8683266cc1,2aef055e-10e1-4dc8-b936-edc1248a5758,3
36117ff9-642b-4848-8073-b9e9c84210b5,dbc4c9d1-2399-4b24-ad3f-1139681d2855,c12e4b71-135c-4703-aed7-3f5eef4d287c,3
de840271-1ffe-4fe1-a732-2c84a8008d53,65d43217-1476-4732-82ad-b78953fff3fd,279c5d31-58f1-4527-85eb-ebd8a815aac3,2
c8200833-c35e-4ab9-a55d-0b95d5148dec,287d63cd-255d-48a4-bd87-7c4ab0e674e3,08f99e79-31c9-405a-9c94-e5a9f5ffe29d,3
89f52091-8b93-477d-8a95-107868c554d3,6da7c865-b784-4f0d-9400-58cdecfeed40,81a8396d-6ee7-4a59-aeb2-2337497919a6,2
4d909540-ba5c-4bc4-a4da-0a5e79d7f3df,e625d3d3-b53a-4d22-b0a2-92e808f72b1e,36448613-605d-4b93-a5d3-5ef29922209f,3
d4be4d55-8f8f-41e5-afe8-9e347a3f3119,27b3c92d-ae8a-4500-b48b-0875de592746,61e106db-d0de-43c7-88cb-befafa196f45,3
fa509e06-8b29-4643-bec4-2a6ba6974563,d164a4d2-58c9-4209-8b66-cd937e22b4f3,5aaf174f-0a76-403a-b3c0-6dffe99b13c9,1
088dfc6a-518d-471b-be1b-bfcb58c3e85e,3c843594-1673-4ece-a968-398c4406b09f,57194cda-5324-44a3-b5a3-64a011c2aee5,1
5f1ba378-d195-4e92-94db-9aadf171027c,1ab033c9-c1fa-402a-99a1-93767ef4e1a3,15a5dd8f-5d97-4ee9-9a38-ff2591136343,1
ea636bc0-1fb4-4e5e-8422-36d7859419c1,4fc4320e-28eb-4da3-a2c8-edaaaba3a5b8,935ddc28-373d-43ff-a088-7f16a66a5ffe,2
f2e50a81-4f92-40e9-bcb6-15d65dc03424,60b40875-23b0-4f0d-a1f8-66208db5e2b7,279c5d31-58f1-4527-85eb-ebd8a815aac3,1
925d454a-5cfa-4eed-bdb7-2a037fe3e5a1,62440cba-e6d2-4b13-a049-b51922170649,4c730fcb-7a34-4b0f-9e0e-3202214c49eb,1
4f6094a1-5c3b-42c1-9f33-db709c4599c3,f36811ea-f197-4950-8ba8-8aeade3e28ca,7afa640d-5d5c-4e34-b1fe-54e159fbd787,1
42ee61a8-1d33-4007-8156-7f864248da27,4899306a-da92-48c3-9194-dc6bd6faca74,4230174e-e38a-4f36-93bb-49e047a5693d,3
4e9af17b-24c2-4b28-a7d9-db76f9ea0ece,d2378bdb-ab77-4fab-bc8b-88af0cef1cd0,0e6e60de-7e9a-4771-aabe-b57a5fd99cec,1
21f8a738-8c2f-40de-bea2-76c1986a8f75,4b24c4aa-b9dd-4e65-8e26-b02fbf1e05bb,9e54eb37-0d17-4465-b41a-63a1442efafc,3
ac8cb3f3-e44e-4de2-9f45-abda7220c3de,37de59fe-36ee-4b12-9c56-45e47e314f95,f0ee770e-8e3b-470e-aba0-40d2f1d643c2,2
dbc79b7b-c73d-4f48-a998-70ececa85951,4cb23090-bd25-4df0-8917-0a4cae1f01fe,a115ba3e-04dd-491b-b592-cda021c6f8bf,1
f3f8071b-6c3a-4b71-8ab9-e4b2ff860dde,7c38e8de-ffff-4374-9f62-92937f50ff2a,a755edde-4dd5-4cb9-8fb2-0648a1088a13,3
776e7115-adef-476d-9236-990c391dbd5a,49497c4d-e457-4d1d-bfb0-7d61c1a1d09a,549cefb4-9860-4e18-9165-1daa0dab640d,2
7113e43c-7014-488e-a027-500b07c164de,d9190dac-5025-439f-b46a-76f76f70c091,a651236b-60d9-4ed7-a38b-ac86ddf74c0b,2
