id,productId,sku,size,color,stock,price
d06d178d-08da-4f87-9349-ec16221f5486,bb483a44-bc2e-4d87-822d-04071d6bc9d2,377f8577-4d60-4c6b-8dc5-9f133bc64c35,,White,171,
7afa640d-5d5c-4e34-b1fe-54e159fbd787,730f446e-d92f-42fc-9bda-c2faa1039493,10fd3129-3eec-45fb-a2f6-ac670fc4257a,,Green,49,
143ad2c6-7ecc-46e5-9828-ae4c4f92e3f9,ba3ede2d-bc2d-4295-819a-acf758e2ffcd,c7e8bbd4-c491-4daa-8d73-f66acd7d988b,,Red,159,
6f6b36d9-dcac-4c1e-b66a-e2684ee4c6c7,3a18c9ee-7789-444e-a861-7a357c645238,c70b706e-1887-4402-9872-bd377e1ab449,,White,75,
201f3f92-3c71-4f6a-aa46-03be75af415f,d44025be-1f64-46e7-b713-4921303ea488,1f63c186-5a80-4592-b49d-50afc3d399c1,XL,White,105,
03ff807e-db97-4d2d-bd8b-a41da80edb53,a47f609c-0afd-40bb-9021-4edba1041147,c32db223-0752-4874-bc6d-ca0b79ad87f2,,White,115,
72b897cc-33d8-4aaa-82fd-70b898ca966d,4129a81a-633e-4988-af75-cb1c91272c49,25ecf857-a3bf-4789-bf4a-6828302541ff,,Red,57,
cf9d26cc-7c2b-4c08-a071-bdd86317faf9,2209ef87-5989-4884-af20-b1495d491a60,807223d6-26a2-44de-a4d1-952a498f03b4,,White,54,
9e54eb37-0d17-4465-b41a-63a1442efafc,875381dc-6313-4a34-82f8-031c291b454a,96aa2e8b-b6e2-470f-9e79-39629c6f81e7,,White,158,
149e3c64-911a-4737-b40e-eb3528f3bc8b,b65961ee-4f1f-4556-ba1d-19b6549b7519,acacaca3-39b1-4376-abb9-35320d13bd54,,Green,103,
2876e88e-23a6-4f98-93c1-f6655a4fa180,724fa03c-bce9-48fd-b64f-50a7358624ec,1bf0d9f2-d46f-4c74-9751-5a168f105f4b,,Blue,194,
cab10f6d-a2c3-476b-96be-1839a7917e49,378897cc-924c-47f1-b226-1e22506a82a9,2c419a3e-c046-4c64-81f2-b4345cf83ef2,,White,21,
a84a867d-c16b-4d75-a7d2-3c22586234e8,66419dfd-a8f4-49f3-a16e-850fef2c2242,a88d9060-8f04-451e-b855-5e0616576581,,Black,69,
47dba4b0-084d-4ae4-9dd8-4e9f14c83daa,1e1867d5-4336-4c22-80ba-186a1d46e9ac,791a2539-21bc-4ea9-bcc0-6be4e0178c4b,,Black,79,
34775c41-d73b-4918-b22a-0521835f678a,090f4b59-aa2b-49d0-a78f-47ca45b5a5e6,f6090810-d5dd-4156-bdcd-2799b4f6526f,,White,196,
abd0f15c-e7b3-418e-9768-9ed32cd3fa90,3f089685-6fa4-4771-acda-3668017de874,610d0bc5-27c7-46f7-bfd6-fa9e0d31e594,,Red,113,
d529b89e-02c4-4134-9305-f716c71b9988,69838969-8a8a-424a-9a51-d9abc53dd812,7406f8de-b2b4-4751-9d35-fdc2e5e4c15b,,Green,104,
f8a8360e-c112-4407-b885-68cbc93c68be,e50ea7b5-5076-4e11-bfc5-f18b5a60c046,5720ee25-3afe-4426-a0b9-866019182ae2,,Green,178,
